dataset,colonne,dtype,non_nuls,manquants,taux_remplissage,uniques
offres_processed,offre_id,str,7861,0,100.0,7861
offres_processed,source,str,7861,0,100.0,3
offres_processed,titre_poste,str,7861,0,100.0,6842
offres_processed,employeur,str,7861,0,100.0,956
offres_processed,type_entreprise_norm,str,7861,0,100.0,3
offres_processed,pays,str,7861,0,100.0,1
offres_processed,ville_principale,str,7861,0,100.0,63
offres_processed,villes_list,object,7861,0,100.0,221
offres_processed,secteur_principal,str,7861,0,100.0,190
offres_processed,secteurs_list,object,7861,0,100.0,1005
offres_processed,groupe_contrat_norm,str,773,7088,9.83,4
offres_processed,type_contrat_norm,str,7861,0,100.0,23
offres_processed,ncf_niveau_code,Int64,5013,2848,63.77,7
offres_processed,niveau_etudes_raw,str,7861,0,100.0,8
offres_processed,experience_min_ans,Int64,4721,3140,60.06,5
offres_processed,niveau_experience_raw,str,7861,0,100.0,6
offres_processed,skills_list,object,7861,0,100.0,1147
offres_processed,skills_raw,str,7861,0,100.0,1151
offres_processed,details_clean,str,7861,0,100.0,2460
offres_processed,details_truncated,str,7861,0,100.0,2460
offres_processed,details_raw,str,2702,5159,34.37,2459
offres_processed,lien_reference,str,7861,0,100.0,5473
offres_processed,groupe_contrat_raw,str,7861,0,100.0,5
offres_processed,type_contrat_raw,str,7861,0,100.0,24
offres_processed,secteur_activite_raw,str,7861,0,100.0,1151
offres_processed,ville_region_raw,str,7861,0,100.0,254
offres_processed,type_entreprise_raw,str,7861,0,100.0,3
offres_processed,text_to_embed,str,7861,0,100.0,3307
offres_processed,metadata_str,str,7861,0,100.0,7671
offres_processed,ft_eligible,bool,7861,0,100.0,2
